video_id,comment_id,text,author,likes,time,reply_count,cleaned_comment
nqj55KskVJ4,Ugx4WoIPN3cGtTlwtL14AaABAg,Galat information about,@NiranjanYadav-eu8ne,0,3 days ago,False,galat information
nqj55KskVJ4,UgyXf3Z5LepqAqCCqdx4AaABAg,"So these are the words carrying planck constantum sets,or log kehte hain,ki ai ni hai chalo youth ko target karein kyu?",@harsita12221,1,2 weeks ago,False,words carrying planck constantum setsor log kehte hainki ai ni hai chalo youth ko target karein kyu
nqj55KskVJ4,UgwNumXsWw-HTbE-d3t4AaABAg,https://youtu.be/2WyIM_fJ_KA,@swankyreads,0,1 month ago,False,
nqj55KskVJ4,Ugx34z08KRmXmi6rEdx4AaABAg,😋😋😋😋,@PlemaJainbhaktistetuschanale,3,4 months ago,False,
nqj55KskVJ4,UgyB3YBsgqHucDLTHOV4AaABAg,bhai bikaji hai ye,@vishalmeena8619,7,10 months ago,False,bhai bikaji hai ye
nqj55KskVJ4,UgyB3YBsgqHucDLTHOV4AaABAg.A7xJ7VgEXm7ABmSNIJhaXA,Haldiram ka hi brand h bhai,@nikhilmittal7066,1,7 months ago,True,haldiram ka hi brand h bhai
nqj55KskVJ4,UgyB3YBsgqHucDLTHOV4AaABAg.A7xJ7VgEXm7ABmgnLT4IZF,@nikhilmittal7066  haldiram alg hai bikaji alg hai... bs family same hai dono ki owners ki,@vishalmeena8619,1,7 months ago (edited),True,haldiram alg hai bikaji alg hai bs family hai dono ki owners ki
nqj55KskVJ4,UgyB3YBsgqHucDLTHOV4AaABAg.A7xJ7VgEXm7AIENI52I5WX,​ @vishalmeena8619 yes but bikaner haldiram ka hai aur bikaji dusre ka hai,@BirkcbirkcBirkc-t7t8l,0,2 months ago,True,​ yes bikaner haldiram ka hai aur bikaji dusre ka hai
SH9Mz-Ssd7A,UgyGNV4gLraRII_CKzN4AaABAg,"Now,it is used in washrooms instead of consumption in corners to indicate loss and pain of crisis and 😂",@harsita12221,1,2 weeks ago (edited),False,nowit used washrooms instead consumption corners indicate loss pain crisis
SH9Mz-Ssd7A,UgwNlr8HrzxvdWGJlsZ4AaABAg,Hiii,@HarvanshSinghRajput,0,2 months ago,False,hiii
SH9Mz-Ssd7A,UgzNDSPuEjowEHRzwrV4AaABAg,One year work tandur dapamant I am happy in this peroid,@MadhavpandeyMadhavpandey-o7e,0,3 months ago,False,one year work tandur dapamant happy peroid
SH9Mz-Ssd7A,UgwAXOEt_VLj90ZNjjJ4AaABAg,Prograss company year to year,@MadhavpandeyMadhavpandey-o7e,0,3 months ago,False,prograss company year year
SH9Mz-Ssd7A,Ugxjd81HK2csDhYGJxZ4AaABAg,Ha haldiram company achhi hai hum bhi kaam kiye hai haldiram company me ❤,@AbhinandanKumar-fm7fx,0,4 months ago,False,ha haldiram company achhi hai hum bhi kaam kiye hai haldiram company
SH9Mz-Ssd7A,Ugyiqi8CFWW8xYAFfrh4AaABAg,"You can post this video for video recording but a northerner is not clean because of the war in India, they will not buy from any country. If you eat, South Indian food is the best.😅😅😅",@m.mohamedhafilyellowsapphi7457,0,10 months ago,False,post video video recording northerner clean war india buy country eat south indian food best
SH9Mz-Ssd7A,Ugy1dIZXtiNUIYQwgD54AaABAg,But nowadays haldiram has converted towards palmolein oil which not good,@samyakgundecha1419,0,10 months ago,False,nowadays haldiram converted towards palmolein oil good
SH9Mz-Ssd7A,UgwHtXkIA0W0r6b4sRh4AaABAg,I get one hair on chips packet,@boyyt8227,0,10 months ago,False,get one hair chips packet
SH9Mz-Ssd7A,UgwMarryDrn3npCy_IZ4AaABAg,Sir This Video use my news Channel ??? with your permission ?,@ThamizhIniyan.I,0,1 year ago,False,sir video use news channel permission
